"","names","Model","Estimate","SE","tval","pval","sig","Model","Estimate","SE","tval","pval","sig","Model","Estimate","SE","tval","pval","sig","Model","Estimate","SE","tval","pval","sig","Model","Estimate","SE","tval","pval","sig","Model","Estimate","SE","tval","pval","sig","Model","Estimate","SE","tval","pval","sig","Model","Estimate","SE","tval","pval","sig","Model","Estimate","SE","tval","pval","sig","Model","Estimate","SE","tval","pval","sig","Model","Estimate","SE","tval","pval","sig","Model","Estimate","SE","tval","pval","sig","Model","Estimate","SE","tval","pval","sig","Model","Estimate","SE","tval","pval","sig","Model","Estimate","SE","tval","pval","sig"
"1","(Intercept)","PS fish passage",-0.379623036791843,0.114818126200086,-3.3062988341257,0.0010366216,"**","PS instream",-0.280335572874759,0.130680546583882,-2.14519743146938,0.0325788264,"*","PS land",-0.70177730908065,0.161595584511322,-4.34280002886764,0.0000181275,"***","PS riparian",-0.583389285452115,0.172046166066117,-3.39088803192463,0.0007707766,"***","PS total worksites",0.912575959869032,0.0841561477334364,10.8438418873402,0,"***","Yakima fish passage",-1.89369961748161,0.348797785811969,-5.42921914791761,0.0000003278,"***","Yakima instream",-0.654846806296124,0.204940006167243,-3.19530978135001,0.0018109405,"**","Yakima land",-1.73998285065089,0.313167652804157,-5.55607462990123,0.0000001859,"***","Yakima riparian",-0.0900379165123193,0.15878153961432,-0.567055318464737,0.5718013296,"","Yakima total worksites",1.07302750635511,0.115276931822366,9.30825872437835,0,"***","Willamette fish passage",0.143495323800072,0.105389209340205,1.36157510525444,0.1741627647,"","Willamette instream",0.168128140952457,0.104266598946286,1.61248321755532,0.1077117251,"","Willamette land",-37.5657916569037,120058.955975122,-0.000312894538785494,0.9997505154,"","Willamette riparian",0.544208388610773,0.0851674869002417,6.38986083090857,0.0000000005,"***","Willamette total worksites",1.59305442251778,0.0587476811847057,27.1168902396188,0,"***"
"2","max_elevation","PS fish passage",-2.04760370063052,0.474795898591694,-4.31259770083099,0.0000206552,"***","PS instream",-2.50542470337753,0.522140472253722,-4.79837292168394,0.0000023132,"***","PS land",-2.43281677158044,0.568128630634953,-4.2821583711799,0.0000235417,"***","PS riparian",-2.07871501952639,0.507364428969713,-4.09708466111344,0.0000513,"***","PS total worksites",-2.22569870608232,0.359665746872573,-6.18824207041008,0.0000000016,"***","Yakima fish passage",0.570958760604175,1.28454373101065,0.444483707966064,0.6575430334,"","Yakima instream",0.980417761533224,0.872226947239898,1.12403975208022,0.2633783465,"","Yakima land",1.4147172404191,0.988968722196752,1.43049745524474,0.155333739,"","Yakima riparian",0.394020770914016,0.694408003620806,0.567419685342766,0.5715546513,"","Yakima total worksites",1.36839423113832,0.52547681548904,2.60410010642394,0.0104489112,"*","Willamette fish passage",-0.682290629133111,0.646255473506211,-1.0557599232876,0.2917686451,"","Willamette instream",0.0859088376300438,0.586030404752773,0.146594505905007,0.8835321456,"","Willamette land",2.08276640807052,1000377.62171285,0.00000208198020713859,0.9999983399,"","Willamette riparian",-1.24069114507681,0.521894031529149,-2.37728556013869,0.017949611,"*","Willamette total worksites",-0.603090346269635,0.353164368435151,-1.70767608561954,0.0885375627,"."
"3","stream_length","PS fish passage",0.755156903756135,0.179633112655685,4.20388475483133,0.00003284,"***","PS instream",0.770325578512801,0.200359754319302,3.84471213358136,0.0001417566,"***","PS land",0.566501735916253,0.207278452346824,2.73304692071112,0.0065722989,"**","PS riparian",0.829525202724275,0.196611886454136,4.21909996228932,0.0000307945,"***","PS total worksites",0.880955381179833,0.148841384878109,5.91875291876163,0.0000000073,"***","Yakima fish passage",1.2268585175773,0.765351355244234,1.60300038560171,0.1117262122,"","Yakima instream",1.04537551881961,0.555915092222358,1.88045896476845,0.0626201808,".","Yakima land",0.990142868320456,0.578116136396707,1.71270581459953,0.0895093167,".","Yakima riparian",1.4323343766387,0.423984403730024,3.37827137988488,0.0010014634,"**","Yakima total worksites",0.440611547468212,0.309408397460593,1.42404521365432,0.1571889763,"","Willamette fish passage",0.672321638482899,0.215455094138963,3.12047223190402,0.0019477876,"**","Willamette instream",0.453385818690445,0.23572804131319,1.92334274770507,0.0552061743,".","Willamette land",2.34002936133166,224041.958581004,0.0000104446032169711,0.9999916721,"","Willamette riparian",0.901996051247043,0.186102454537354,4.84677138455472,0.0000018517,"***","Willamette total worksites",0.652326604704914,0.134319926511741,4.85651400835075,0.0000017681,"***"
"4","mean_slope","PS fish passage",-0.219384385358742,0.42077787748911,-0.521378135818036,0.6024111457,"","PS instream",0.140288359908205,0.448198853704757,0.313004727139747,0.754451075,"","PS land",0.0307764571127473,0.511809702391177,0.0601326175900135,0.9520820447,"","PS riparian",0.0012350763596674,0.454847169153224,0.00271536560723618,0.9978348983,"","PS total worksites",-0.102179187427691,0.318678150206576,-0.32063443120106,0.7486660399,"","Yakima fish passage",-2.70809596027788,1.25051757313213,-2.16558009136569,0.0324452739,"*","Yakima instream",-2.48669913538813,0.802516317695754,-3.09862750520529,0.0024535708,"**","Yakima land",-3.51359549445781,1.02016574123365,-3.44414182170925,0.0008046288,"***","Yakima riparian",-0.584274554434526,0.593190379027488,-0.984969708025982,0.3267432373,"","Yakima total worksites",-1.89509313046741,0.479588183064323,-3.951500886362,0.0001356373,"***","Willamette fish passage",-0.60363692933812,0.400773162693755,-1.50618101591643,0.132876257,"","Willamette instream",-0.472657583020295,0.39845800368832,-1.18621681242477,0.2362999035,"","Willamette land",-4.46409920809565,585537.982646274,-0.00000762392763646288,0.9999939211,"","Willamette riparian",0.0499418366268305,0.348074826744782,0.143480173771513,0.8859892888,"","Willamette total worksites",-0.215163569511018,0.236464971790812,-0.909917303529256,0.3634600847,""
"5","stream_order","PS fish passage",-0.346230116161863,0.215833309861296,-1.60415515280921,0.1095216932,"","PS instream",0.0224281103408171,0.2267233812042,0.0989227940307448,0.9212524277,"","PS land",0.317421977307245,0.244198505526811,1.29985225184924,0.1944500359,"","PS riparian",0.290306381506013,0.225564605349539,1.2870209892024,0.1988808209,"","PS total worksites",-0.0203996475596114,0.167186709301073,-0.12201716060381,0.902950787,"","Yakima fish passage",0.172390469678624,0.928061116547781,0.185753358916583,0.8529712097,"","Yakima instream",-0.392943969212306,0.63041326853293,-0.623311704918185,0.5343357863,"","Yakima land",0.946763893989335,0.761086413849242,1.24396372969137,0.2160872088,"","Yakima riparian",0.0494071795520112,0.484131959624249,0.102053125330453,0.9188953815,"","Yakima total worksites",0.403160348097593,0.365219325135607,1.10388558422504,0.2719879355,"","Willamette fish passage",-0.430573930574176,0.273666550324502,-1.57335242492595,0.1164942225,"","Willamette instream",0.197116801438738,0.298138645869551,0.661158169763021,0.5089234744,"","Willamette land",-0.873474433264552,238219.466000988,-0.00000366667950326499,0.9999970764,"","Willamette riparian",-0.0609251835772596,0.237802290998442,-0.256200995042805,0.7979384101,"","Willamette total worksites",-0.170500374514407,0.168769113507374,-1.01025816259299,0.3130336069,""
"6","natural_cover","PS fish passage",0.950551631362571,0.350694304011101,2.71048494512327,0.0070271727,"**","PS instream",1.53341436263476,0.385128035781219,3.98157033549707,0.0000822284,"***","PS land",0.941770406481397,0.405752649245897,2.32104561296569,0.0208199156,"*","PS riparian",0.499412745705104,0.369959186136384,1.34991308344212,0.1778581151,"","PS total worksites",0.9485562298386,0.278599843088809,3.40472636065424,0.0007338775,"***","Yakima fish passage",-0.0842827656820379,1.11809374966412,-0.0753807681219548,0.9400450516,"","Yakima instream",1.12639198630348,0.844556193170963,1.33370875190002,0.1849813817,"","Yakima land",0.755311256951819,0.880536019583999,0.857785757939418,0.3928264765,"","Yakima riparian",0.326752307872382,0.597717644330982,0.546666659369094,0.5856856235,"","Yakima total worksites",-0.196395615678248,0.459616003770534,-0.427303692793733,0.6699712724,"","Willamette fish passage",3.66540440222366,0.464032093758357,7.89903209611273,0,"***","Willamette instream",2.41478100887308,0.490867595114836,4.91941418196113,0.00000131,"***","Willamette land",5.5199869950165,800341.162036814,0.00000689704248244399,0.9999945007,"","Willamette riparian",0.406602741289049,0.386528575666631,1.05193449303922,0.2935179816,"","Willamette total worksites",1.87335229854378,0.27373036558361,6.84378693079842,0,"***"
"7","impervious","PS fish passage",0.439301687815674,0.356607772158778,1.23189039082434,0.2187619221,"","PS instream",0.467147852415348,0.388775947705772,1.20158629969797,0.2302821504,"","PS land",-0.191864493233069,0.407011914809495,-0.471397731250379,0.6376308652,"","PS riparian",0.18082196881035,0.382939905484668,0.472194112497868,0.6370628997,"","PS total worksites",0.124238936031082,0.288521945660163,0.430604804590558,0.6670031286,"","Yakima fish passage",-0.0463858663538179,1.38704759664246,-0.0334421590622422,0.9733809904,"","Yakima instream",1.10742189077353,0.549390949394171,2.01572649129862,0.046201374,"*","Yakima land",-2.19227563082589,1.14517835266244,-1.91435301385941,0.0581039374,".","Yakima riparian",1.24887344232068,0.434341248068795,2.87532774718847,0.004824611,"**","Yakima total worksites",0.47480959457036,0.341110087988057,1.3919541265135,0.166669925,"","Willamette fish passage",0.935514097435384,0.313637211084382,2.98279051200877,0.0030461921,"**","Willamette instream",1.45589849932724,0.333879109028389,4.36055584179557,0.0000168506,"***","Willamette land",2.76417199701121,359191.230536463,0.00000769554421716486,0.999993864,"","Willamette riparian",0.757943658008751,0.239753119160522,3.16135056203914,0.0017002881,"**","Willamette total worksites",0.691224799961501,0.176143247989315,3.92421967831222,0.0001037903,"***"
"8","species_rich","PS fish passage",1.63321335020763,0.289246664181973,5.64643797993856,0.0000000324,"***","PS instream",1.7891792505583,0.298093553359235,6.00207294118216,0.0000000046,"***","PS land",1.33632878538954,0.332330030705553,4.02108946504908,0.0000700588,"***","PS riparian",1.71663012135182,0.301502661770352,5.69358197792409,0.0000000251,"***","PS total worksites",1.42832858405756,0.2110605241563,6.76738859513024,0.0000000001,"***","Yakima fish passage",0.304918263059164,0.968972801573,0.314681962759088,0.7535834425,"","Yakima instream",-0.233690645264505,0.705111321731832,-0.331423759712913,0.7409382751,"","Yakima land",0.699648096044701,0.770208289512842,0.908388166644155,0.3656064547,"","Yakima riparian",-0.162633944253975,0.520995568392771,-0.312159937858373,0.7554942552,"","Yakima total worksites",0.137562893773137,0.398523208885254,0.345181637370449,0.7305995217,"","Willamette fish passage",0.892655308271854,0.275272739778454,3.24280315221291,0.0012914455,"**","Willamette instream",0.718785048689859,0.300220980904932,2.39418659723009,0.0171557411,"*","Willamette land",11.6146850485491,164554.212422998,0.0000705827269781021,0.9999437213,"","Willamette riparian",0.149537166729341,0.243314114878166,0.614584841509167,0.5392076936,"","Willamette total worksites",0.46574068318709,0.171242387391573,2.71977452709824,0.006841547,"**"
"9","bull_trout","PS fish passage",-0.156781693792554,0.218229641977176,-0.718425289855681,0.4729424679,"","PS instream",-0.488479931983757,0.23602614786212,-2.06960091671332,0.0391741022,"*","PS land",0.169358673137433,0.253024346495969,0.669337458955282,0.5036921149,"","PS riparian",-0.407921993346487,0.238235739184391,-1.71226195844092,0.0876750977,".","PS total worksites",-0.0514256006665832,0.171472381150846,-0.299906027556378,0.7644150061,"","Yakima fish passage",-0.693960615823291,1.00602755645733,-0.689802790558774,0.4917324207,"","Yakima instream",1.085433676161,0.674087204844913,1.61022738357825,0.1101382585,"","Yakima land",-0.578815657536426,0.846299592556118,-0.683937062746541,0.4954150789,"","Yakima riparian",0.908257868613061,0.544920168392456,1.66677234812664,0.0983291506,".","Yakima total worksites",0.54859510472586,0.412941992522194,1.3285040384852,0.1866883765,"","Willamette fish passage",-0.538841188384436,0.264334417535276,-2.03848289378558,0.0422141112,"*","Willamette instream",-0.148670205143563,0.239761559756025,-0.62007523347298,0.5355909863,"","Willamette land",-14.7737082859262,475834.458235532,-0.0000310480000559636,0.9999752441,"","Willamette riparian",0.336807161286604,0.196319162296383,1.71561022035193,0.0870728196,".","Willamette total worksites",0.021401039612519,0.141133372584899,0.151636988619719,0.8795561264,""
"10","esu_count","PS fish passage",0.195259684013538,0.305310762219389,0.639544058631084,0.5228595535,"","PS instream",1.20650432306954,0.391956841539693,3.07815604986029,0.0022360937,"**","PS land",0.0747489820068522,0.360402273397773,0.20740430214865,0.8358067045,"","PS riparian",1.75515872985425,0.46266931127816,3.79354905776112,0.0001730685,"***","PS total worksites",0.750432919316438,0.241576589597196,3.10639752207657,0.0020380229,"**","Yakima fish passage",0.199505964043151,1.2278805074913,0.162479950472351,0.871218111,"","Yakima instream",0.469958331731455,0.586601247533981,0.801154674844483,0.424723474,"","Yakima land",-0.0257808765311234,1.35595410417959,-0.01901308934547,0.9848641945,"","Yakima riparian",-0.0161312873460624,0.373951650944214,-0.0431373609538332,0.9656681701,"","Yakima total worksites",0.422301904016547,0.29911106156858,1.41185652513798,0.1607400117,"","Willamette fish passage",0.0587119657597136,0.236764702551431,0.247976007939613,0.8042909045,"","Willamette instream",-0.666127809188337,0.259305796827888,-2.56888900031214,0.0105948905,"*","Willamette land",-4.86359947196991,332958.325002927,-0.0000146072319168688,0.999988353,"","Willamette riparian",0.0309983815520397,0.215907674482736,0.143572393275526,0.8859165136,"","Willamette total worksites",-0.126960988169434,0.149071995759993,-0.851675645195235,0.3949465201,""
"11","impaired","PS fish passage",0.557058695908314,0.207781375336945,2.68098473698602,0.0076646911,"**","PS instream",0.729983053839593,0.220113271638316,3.31639727312346,0.001000912,"**","PS land",0.6882651717361,0.238495564524527,2.88586151741752,0.0041291949,"**","PS riparian",0.736882936814981,0.22134048768836,3.329182765028,0.0009573404,"***","PS total worksites",0.652446882787785,0.163660953433836,3.98657632806444,0.0000805827,"***","Yakima fish passage",1.17944227622654,0.649461516793436,1.8160310437634,0.072016916,".","Yakima instream",1.09147158386488,0.440352026105494,2.4786341816522,0.0146661219,"*","Yakima land",0.784422863124589,0.509224642711041,1.54042596789588,0.126252277,"","Yakima riparian",-0.39491823739768,0.34316727269992,-1.15080390472728,0.2522422943,"","Yakima total worksites",0.0861281350097793,0.266731920165633,0.322901492090996,0.7473665762,"","Willamette fish passage",0.0529309255430749,0.198113642809268,0.267174560986866,0.7894840196,"","Willamette instream",-0.0603891820519899,0.217687254131525,-0.277412576555829,0.7816186756,"","Willamette land",1.25687845734584,287156.045191685,0.00000437698762882335,0.99999651,"","Willamette riparian",0.0538140544537569,0.175948326257003,0.305851471273174,0.7598902129,"","Willamette total worksites",0.0959095806777225,0.123374273411716,0.777387197715522,0.4374284603,""
"12","pct_public","PS fish passage",-0.191536598165815,0.213978749370821,-0.895119719733877,0.3712972727,"","PS instream",0.100621395503269,0.216279986841584,0.46523673767823,0.6420319806,"","PS land",0.0547549124046862,0.250132227534992,0.218903869142677,0.8268440221,"","PS riparian",-0.143905995140346,0.235770909297958,-0.610363660083626,0.5419906499,"","PS total worksites",-0.0411935598007331,0.159661732193333,-0.258005216621677,0.7965444143,"","Yakima fish passage",1.00969814248592,0.532602239210261,1.8957827589743,0.0605431556,".","Yakima instream",0.351045352790442,0.396204249745793,0.886021169676183,0.3774877883,"","Yakima land",1.05048547852997,0.462114664994705,2.27321389712228,0.0249032042,"*","Yakima riparian",-0.313492890843823,0.334167551513737,-0.938130855086738,0.3501780137,"","Yakima total worksites",0.513473195711201,0.242173443396523,2.12027044959866,0.0361709739,"*","Willamette fish passage",-2.73554757420176,0.408350065780655,-6.69902567291652,0.0000000001,"***","Willamette instream",-1.13310364992101,0.433650775563134,-2.61294044372357,0.0093437323,"**","Willamette land",1.77672751320243,636906.347689392,0.00000278962129934511,0.9999977757,"","Willamette riparian",0.119904043014438,0.380545172478437,0.315084914186454,0.7528752855,"","Willamette total worksites",-1.34508878649387,0.255920845308516,-5.25587817933449,0.0000002498,"***"
"13","household_inc","PS fish passage",-0.224787805029194,0.355001793132726,-0.633201886237097,0.5269877748,"","PS instream",-0.387253003443571,0.374949667589744,-1.03281329980345,0.3023568908,"","PS land",-0.441517323087649,0.401740168018127,-1.09901214326103,0.2724678431,"","PS riparian",-0.696575269625522,0.372639892539306,-1.86929870787263,0.0623604661,".","PS total worksites",-0.309830649652665,0.269460911072562,-1.14981667812009,0.250952139,"","Yakima fish passage",-1.2738713305053,0.99967563343156,-1.27428466584958,0.2051769452,"","Yakima instream",0.335869802074885,0.623119293759334,0.539013645442676,0.5909378181,"","Yakima land",-0.24112950666052,0.884349507567557,-0.272663132163388,0.7856098166,"","Yakima riparian",-0.153994161289049,0.553077688902503,-0.278431338632782,0.7811901249,"","Yakima total worksites",0.126378496948143,0.381517285610788,0.331252348752214,0.7410673908,"","Willamette fish passage",-0.838166191573631,0.499574366541959,-1.67776060524361,0.0942405772,".","Willamette instream",0.0686798965098414,0.53917363154356,0.127379924558296,0.8987090907,"","Willamette land",4.17349707022902,707018.394215307,0.00000590295401700408,0.9999952933,"","Willamette riparian",-0.887064135468963,0.436294143654516,-2.0331791026088,0.0427497045,"*","Willamette total worksites",-0.549015475714043,0.307676933655846,-1.78438945419336,0.0751819119,"."
"14","white_non_hisp","PS fish passage",0.663552153836307,0.408453304173029,1.62454838057868,0.1050989902,"","PS instream",0.99897360128921,0.449369315914356,2.22305699546162,0.0268074934,"*","PS land",0.657092399175497,0.601656285792207,1.09213917429666,0.2754730792,"","PS riparian",1.50210982296482,0.6206709711874,2.42013867684378,0.0159891427,"*","PS total worksites",0.707541162978595,0.314017231269341,2.25319215801797,0.0248242595,"*","Yakima fish passage",2.38655661617422,1.37313538879251,1.73803445432491,0.0849288553,".","Yakima instream",1.63148699795981,0.793462508507806,2.05616141968447,0.0420706316,"*","Yakima land",0.282320405795093,0.842336646677953,0.335163389730841,0.738123236,"","Yakima riparian",-0.698238155013735,0.603667045838814,-1.15666104324696,0.2498502635,"","Yakima total worksites",0.0788425077738678,0.47283415108487,0.166744528907169,0.8678690768,"","Willamette fish passage",0.097589312550427,0.463420625020703,0.210584741553243,0.8333275564,"","Willamette instream",-0.231826134366987,0.430980657324917,-0.537903802472074,0.5909677336,"","Willamette land",-5.52515947680525,654682.102934034,-0.00000843945397627887,0.9999932709,"","Willamette riparian",0.964775171337397,0.357341353267052,2.6998699213421,0.0072560056,"**","Willamette total worksites",0.422215305547174,0.248994283277963,1.69568272808833,0.0907894801,"."
"15","owner_occ","PS fish passage",-1.08258052276399,0.359137109008883,-3.01439337681256,0.0027500685,"**","PS instream",-0.767232459367852,0.416053868998946,-1.84407000279523,0.0659616019,".","PS land",0.438268692620216,0.486246062350606,0.901331088423713,0.3679908156,"","PS riparian",-0.0130028784363796,0.432003382502053,-0.0300990199684787,0.9760040946,"","PS total worksites",-0.578763493293427,0.269929645083679,-2.14412719697389,0.0326650791,"*","Yakima fish passage",-0.074853869198819,0.987698911161667,-0.0757861210060268,0.9397232702,"","Yakima instream",-0.271600708234309,0.549656613107361,-0.494127973279309,0.6221749894,"","Yakima land",1.92204063519906,0.903805129086279,2.12660956808486,0.0356284387,"*","Yakima riparian",1.98531073557143,0.577945933225622,3.43511498470289,0.0008292672,"***","Yakima total worksites",0.885634836676641,0.37359271769193,2.37058913286139,0.019453244,"*","Willamette fish passage",0.929820580760609,0.477563635211083,1.94700875905182,0.0522920458,".","Willamette instream",-0.0000231685095032942,0.425175382450867,-0.0000544916532319967,0.9999565514,"","Willamette land",0.101036995156498,810619.167408274,0.000000124641754375899,0.9999999006,"","Willamette riparian",-0.0840813185783169,0.346833786390899,-0.242425397632839,0.8085852412,"","Willamette total worksites",-0.272609286644672,0.246133624985262,-1.10756621189403,0.2687706406,""
"16","edu_degree","PS fish passage",0.311440945623213,0.353972319040374,0.879845481893994,0.3795065001,"","PS instream",-0.506036803824,0.39854213879346,-1.26971969728463,0.2049718487,"","PS land",0.718010002154093,0.403330630915145,1.78020201571339,0.0758525008,".","PS riparian",0.427773773754886,0.370267550829713,1.1553099179129,0.2486991335,"","PS total worksites",0.258176112420186,0.267578256224264,0.964862078343922,0.3352356954,"","Yakima fish passage",-0.280364672623281,0.998790028698919,-0.280704316790687,0.7794504891,"","Yakima instream",-1.65720328563836,0.700548509926926,-2.36557963103971,0.0197054683,"*","Yakima land",-2.03622115894924,0.815507852358499,-2.49687498785004,0.0139709736,"*","Yakima riparian",-0.407660896045905,0.546423204961537,-0.746053411246692,0.45718438,"","Yakima total worksites",-0.526579896800477,0.422640675026144,-1.24592810847632,0.2153677943,"","Willamette fish passage",0.113348689838717,0.378829731223779,0.299207481610677,0.7649501889,"","Willamette instream",0.24849860319365,0.418422972057292,0.593893308419082,0.5529473706,"","Willamette land",1.92559275574299,413481.252706181,0.00000465702554381907,0.9999962867,"","Willamette riparian",0.701957152748966,0.328826575254253,2.13473364251719,0.0334411455,"*","Willamette total worksites",0.579384319607451,0.234891403968931,2.466605034572,0.014093715,"*"
"17","pop_density","PS fish passage",-0.279218238918384,0.30154280697154,-0.925965509582647,0.3550594202,"","PS instream",0.391634020772377,0.317012341613363,1.23539045445122,0.2174586164,"","PS land",0.947582456070315,0.328676926802877,2.88302092053643,0.0041657865,"**","PS riparian",0.116343117945737,0.319176027362627,0.364510827793328,0.7156820487,"","PS total worksites",0.242140191637769,0.239873058943875,1.00945138526133,0.3134090929,"","Yakima fish passage",-1.66584624926466,1.2762662550425,-1.30524978050853,0.1944593083,"","Yakima instream",-0.561976791373613,0.766299332688599,-0.733364584048233,0.4648548314,"","Yakima land",0.70517385641555,0.796187505514958,0.885688172108979,0.3776664793,"","Yakima riparian",-1.16466661913129,0.599072686767961,-1.94411570558282,0.0543673811,".","Yakima total worksites",-0.662987412383934,0.431808707378626,-1.5353729581062,0.1274875142,"","Willamette fish passage",-0.880317062238357,0.446713817092142,-1.97065107134749,0.0495109057,"*","Willamette instream",-0.650550417789674,0.448552401697706,-1.45033315021263,0.1478151017,"","Willamette land",-0.612856097354751,514075.288600015,-0.00000119215241608626,0.9999990494,"","Willamette riparian",-0.429109298674585,0.266721507873389,-1.60882900706411,0.1085089177,"","Willamette total worksites",-0.328445944961845,0.195248043647074,-1.6821983914755,0.0933763483,"."
